"","FileName","Time","APOE","Sex","APOE_Sex","Injection","Age","mean_FullCellComplexity","mean_log_MaxBranchLength","mean_log_AvgBranchLength","mean_t_index"
"31","20250513_Tser05162_microglia_Probabilities_combined.xlsx",31,"APOE4","Female","APOE4 Female","PostInjection","young",2.2463566688912,4.09869885696824,3.78076139026761,0.577909233073018
"32","20250513_Tser05162_microglia_Probabilities_combined.xlsx",32,"APOE4","Female","APOE4 Female","PostInjection","young",2.15145477105565,4.11893372820434,3.78918880826207,0.578912334333981
"33","20250513_Tser05162_microglia_Probabilities_combined.xlsx",33,"APOE4","Female","APOE4 Female","PostInjection","young",2.23113987844588,4.19247079824266,3.85436871705322,0.538183147789991
"34","20250513_Tser05162_microglia_Probabilities_combined.xlsx",34,"APOE4","Female","APOE4 Female","PostInjection","young",2.29893916812464,4.27811856305952,3.97292008767799,0.619493967695144
"35","20250513_Tser05162_microglia_Probabilities_combined.xlsx",35,"APOE4","Female","APOE4 Female","PostInjection","young",2.16862211152444,4.02821732957128,3.6565828987156,0.581693274221602
"36","20250513_Tser05162_microglia_Probabilities_combined.xlsx",36,"APOE4","Female","APOE4 Female","PostInjection","young",2.22638509093781,4.16218958853401,3.85327577302314,0.571932637284007
"37","20250513_Tser05162_microglia_Probabilities_combined.xlsx",37,"APOE4","Female","APOE4 Female","PostInjection","young",2.440346057056,4.46421798294311,4.10111792425859,0.518257629322523
"38","20250513_Tser05162_microglia_Probabilities_combined.xlsx",38,"APOE4","Female","APOE4 Female","PostInjection","young",2.25362722169483,4.25822299452123,3.90317498328384,0.52362681267207
"39","20250513_Tser05162_microglia_Probabilities_combined.xlsx",39,"APOE4","Female","APOE4 Female","PostInjection","young",2.32026276065375,4.23897059840438,3.88221993616474,0.529136191102218
"40","20250513_Tser05162_microglia_Probabilities_combined.xlsx",40,"APOE4","Female","APOE4 Female","PostInjection","young",2.2734700563173,4.36621735884833,3.94847878821839,0.4800681987536
"41","20250513_Tser05162_microglia_Probabilities_combined.xlsx",41,"APOE4","Female","APOE4 Female","PostInjection","young",2.20981504786105,4.11019752618222,3.75550181142371,0.549877984250359
"42","20250513_Tser05162_microglia_Probabilities_combined.xlsx",42,"APOE4","Female","APOE4 Female","PostInjection","young",2.2834733243783,4.21915321765595,3.85857880941393,0.567208787452193
"43","20250513_Tser05162_microglia_Probabilities_combined.xlsx",43,"APOE4","Female","APOE4 Female","PostInjection","young",2.05268516221176,3.98179273488136,3.70471705388752,0.665756321250106
"44","20250513_Tser05162_microglia_Probabilities_combined.xlsx",44,"APOE4","Female","APOE4 Female","PostInjection","young",2.01856973653163,3.94317103702088,3.65446130882745,0.656849548860433
"45","20250513_Tser05162_microglia_Probabilities_combined.xlsx",45,"APOE4","Female","APOE4 Female","PostInjection","young",2.0578723548108,3.96790608438287,3.66671071285304,0.640795369303224
"46","20250513_Tser05162_microglia_Probabilities_combined.xlsx",46,"APOE4","Female","APOE4 Female","PostInjection","young",2.10147915178077,3.99095561592123,3.67824571019464,0.630690805204339
"47","20250513_Tser05162_microglia_Probabilities_combined.xlsx",47,"APOE4","Female","APOE4 Female","PostInjection","young",2.12218356352738,4.03077000025605,3.69027785192554,0.573878610556848
"48","20250513_Tser05162_microglia_Probabilities_combined.xlsx",48,"APOE4","Female","APOE4 Female","PostInjection","young",2.22809583356909,4.11404147846757,3.77168098836132,0.585254273052362
"49","20250513_Tser05162_microglia_Probabilities_combined.xlsx",49,"APOE4","Female","APOE4 Female","PostInjection","young",2.12693605378544,4.08355788096573,3.76809930360067,0.613715685532228
"50","20250513_Tser05162_microglia_Probabilities_combined.xlsx",50,"APOE4","Female","APOE4 Female","PostInjection","young",2.0806054613619,3.91780775255194,3.65427719826537,0.673466895376953
"51","20250513_Tser05162_microglia_Probabilities_combined.xlsx",51,"APOE4","Female","APOE4 Female","PostInjection","young",2.13655540513078,4.07501264562546,3.73375826613982,0.606824166748321
"52","20250513_Tser05162_microglia_Probabilities_combined.xlsx",52,"APOE4","Female","APOE4 Female","PostInjection","young",2.13788300374659,3.96991613676081,3.67456289619875,0.647439522930806
"53","20250513_Tser05162_microglia_Probabilities_combined.xlsx",53,"APOE4","Female","APOE4 Female","PostInjection","young",2.28414970472407,4.20001366194026,3.85474775619723,0.54797371279336
"54","20250513_Tser05162_microglia_Probabilities_combined.xlsx",54,"APOE4","Female","APOE4 Female","PostInjection","young",2.12468962095549,4.04640624069536,3.72061385207974,0.625647853186259
"55","20250513_Tser05162_microglia_Probabilities_combined.xlsx",55,"APOE4","Female","APOE4 Female","PostInjection","young",2.17693322282127,4.03522213963136,3.73072731136551,0.639011746640338
"56","20250513_Tser05162_microglia_Probabilities_combined.xlsx",56,"APOE4","Female","APOE4 Female","PostInjection","young",1.99385123895159,3.87491280016087,3.55680632435853,0.615111320554326
"57","20250513_Tser05162_microglia_Probabilities_combined.xlsx",57,"APOE4","Female","APOE4 Female","PostInjection","young",2.09968285450998,4.12256536992172,3.75099718605069,0.526912422942111
